word,letters,count,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7
有料道路,"['有', '料', '道', '路']",4,有,料,道,路,,,
水面下,"['水', '面', '下']",3,水,面,下,,,,
地下道,"['地', '下', '道']",3,地,下,道,,,,
用水路,"['用', '水', '路']",3,用,水,路,,,,
国民文学,"['国', '民', '文', '学']",4,国,民,文,学,,,
天地無用,"['天', '地', '無', '用']",4,天,地,無,用,,,
天下国家,"['天', '下', '国', '家']",4,天,下,国,家,,,
無一文,"['無', '一', '文']",3,無,一,文,,,,
民主主義,"['民', '主', '主', '義']",4,民,主,主,義,,,
道義,"['道', '義']",2,道,義,,,,,
無料,"['無', '料']",2,無,料,,,,,
伝統芸能,"['伝', '統', '芸', '能']",4,伝,統,芸,能,,,
純情可憐,"['純', '情', '可', '憐']",4,純,情,可,憐,,,
満員御礼,"['満', '員', '御', '礼']",4,満,員,御,礼,,,
四捨五入,"['四', '捨', '五', '入']",4,四,捨,五,入,,,
七不思議,"['七', '不', '思', '議']",4,七,不,思,議,,,
免許証,"['免', '許', '証']",3,免,許,証,,,,
労基法,"['労', '基', '法']",3,労,基,法,,,,
基礎化粧品,"['基', '礎', '化', '粧', '品']",5,基,礎,化,粧,品,,
文化祭,"['文', '化', '祭']",3,文,化,祭,,,,
洋品店,"['洋', '品', '店']",3,洋,品,店,,,,
等身大,"['等', '身', '大']",3,等,身,大,,,,
役不足,"['役', '不', '足']",3,役,不,足,,,,
対応策,"['対', '応', '策']",3,対,応,策,,,,
身分不相応,"['身', '分', '不', '相', '応']",5,身,分,不,相,応,,
同音異義,"['同', '音', '異', '義']",4,同,音,異,義,,,
天変地異,"['天', '変', '地', '異']",4,天,変,地,異,,,
打打発止,"['打', '打', '発', '止']",4,打,打,発,止,,,
地水火風,"['地', '水', '火', '風']",4,地,水,火,風,,,
明鏡止水,"['明', '鏡', '止', '水']",4,明,鏡,止,水,,,
鳩時計,"['鳩', '時', '計']",3,鳩,時,計,,,,
弥生文化,"['弥', '生', '文', '化']",4,弥,生,文,化,,,
生鮮食料品,"['生', '鮮', '食', '料', '品']",5,生,鮮,食,料,品,,
化学物質,"['化', '学', '物', '質']",4,化,学,物,質,,,
草食動物,"['草', '食', '動', '物']",4,草,食,動,物,,,
不品行,"['不', '品', '行']",3,不,品,行,,,,
不老長寿,"['不', '老', '長', '寿']",4,不,老,長,寿,,,
長蛇,"['長', '蛇']",2,長,蛇,,,,,
国会議員,"['国', '会', '議', '員']",4,国,会,議,員,,,
観劇会,"['観', '劇', '会']",3,観,劇,会,,,,
行楽,"['行', '楽']",2,行,楽,,,,,
質感,"['質', '感']",2,質,感,,,,,
感情的,"['感', '情', '的']",3,感,情,的,,,,
情報家電,"['情', '報', '家', '電']",4,情,報,家,電,,,
教員,"['教', '員']",2,教,員,,,,,
教科書,"['教', '科', '書']",3,教,科,書,,,,
書斎,"['書', '斎']",2,書,斎,,,,,
技術家庭科,"['技', '術', '家', '庭', '科']",5,技,術,家,庭,科,,
心技体,"['心', '技', '体']",3,心,技,体,,,,
自制心,"['自', '制', '心']",3,自,制,心,,,,
学区制,"['学', '区', '制']",3,学,区,制,,,,
自叙伝,"['自', '叙', '伝']",3,自,叙,伝,,,,
伝導体,"['伝', '導', '体']",3,伝,導,体,,,,
話術,"['話', '術']",2,話,術,,,,,
青果物,"['青', '果', '物']",3,青,果,物,,,,
聖歌隊,"['聖', '歌', '隊']",3,聖,歌,隊,,,,
新学期,"['新', '学', '期']",3,新,学,期,,,,
打楽器,"['打', '楽', '器']",3,打,楽,器,,,,
航海士,"['航', '海', '士']",3,航,海,士,,,,
業界紙,"['業', '界', '紙']",3,業,界,紙,,,,
未分化,"['未', '分', '化']",3,未,分,化,,,,
人文科,"['人', '文', '科']",3,人,文,科,,,,
総辞職,"['総', '辞', '職']",3,総,辞,職,,,,
相似形,"['相', '似', '形']",3,相,似,形,,,,
天気雨,"['天', '気', '雨']",3,天,気,雨,,,,
輪転機,"['輪', '転', '機']",3,輪,転,機,,,,
美男子,"['美', '男', '子']",3,美,男,子,,,,
講談師,"['講', '談', '師']",3,講,談,師,,,,
発光体,"['発', '光', '体']",3,発,光,体,,,,
皇太妃,"['皇', '太', '妃']",3,皇,太,妃,,,,
学校行事,"['学', '校', '行', '事']",4,学,校,行,事,,,
学園,"['学', '園']",2,学,園,,,,,
行商人,"['行', '商', '人']",3,行,商,人,,,,
奇人変人,"['奇', '人', '変', '人']",4,奇,人,変,人,,,
奇事,"['奇', '事']",2,奇,事,,,,,
百事,"['百', '事']",2,百,事,,,,,
百人一首,"['百', '人', '一', '首']",4,百,人,一,首,,,
一石二鳥,"['一', '石', '二', '鳥']",4,一,石,二,鳥,,,
青二才,"['青', '二', '才']",3,青,二,才,,,,
変生,"['変', '生']",2,変,生,,,,,
大人,"['大', '人']",2,大,人,,,,,
人力,"['人', '力']",2,人,力,,,,,
人工生命,"['人', '工', '生', '命']",4,人,工,生,命,,,
生涯学習,"['生', '涯', '学', '習']",4,生,涯,学,習,,,
道学先生,"['道', '学', '先', '生']",4,道,学,先,生,,,
後生大事,"['後', '生', '大', '事']",4,後,生,大,事,,,
後学,"['後', '学']",2,後,学,,,,,
哲学,"['哲', '学']",2,哲,学,,,,,
哲人,"['哲', '人']",2,哲,人,,,,,
人事交流,"['人', '事', '交', '流']",4,人,事,交,流,,,
大小事,"['大', '小', '事']",3,大,小,事,,,,
主事,"['主', '事']",2,主,事,,,,,
主流,"['主', '流']",2,主,流,,,,,
上流,"['上', '流']",2,上,流,,,,,
上物,"['上', '物']",2,上,物,,,,,
自生地,"['自', '生', '地']",3,自,生,地,,,,
誕生,"['誕', '生']",2,誕,生,,,,,
地学,"['地', '学']",2,地,学,,,,,
学芸大学,"['学', '芸', '大', '学']",4,学,芸,大,学,,,
一口大,"['一', '口', '大']",3,一,口,大,,,,
活物寄生,"['活', '物', '寄', '生']",4,活,物,寄,生,,,
貨物船,"['貨', '物', '船']",3,貨,物,船,,,,
野生動物,"['野', '生', '動', '物']",4,野,生,動,物,,,
一種,"['一', '種']",2,一,種,,,,,
同種同文,"['同', '種', '同', '文']",4,同,種,同,文,,,
同情,"['同', '情']",2,同,情,,,,,
同級生,"['同', '級', '生']",3,同,級,生,,,,
動学,"['動', '学']",2,動,学,,,,,
人文,"['人', '文']",2,人,文,,,,,
人人,"['人', '人']",2,人,人,,,,,
人生行路,"['人', '生', '行', '路']",4,人,生,行,路,,,
人名,"['人', '名']",2,人,名,,,,,
行政,"['行', '政']",2,行,政,,,,,
学名,"['学', '名']",2,学,名,,,,,
学齢生徒,"['学', '齢', '生', '徒']",4,学,齢,生,徒,,,
生生流転,"['生', '生', '流', '転']",4,生,生,流,転,,,
風流人,"['風', '流', '人']",3,風,流,人,,,,
学期,"['学', '期']",2,学,期,,,,,
一期一会,"['一', '期', '一', '会']",4,一,期,一,会,,,
